Data,Produto,Categoria,Região,Vendedor,Vendas,Quantidade,Custo
2025-05-10,Mouse,Armazenamento,Oeste,Carla Dias,3294,23,840.3750163287294
2025-12-31,Memória RAM,Informática,Sul,Bruno Costa,3737,10,2433.0020558508018
2025-11-10,Memória RAM,Periféricos,Sul,Diego Lima,226,27,509.8277882838388
2023-05-02,Teclado,Informática,Oeste,Carla Dias,9157,18,4805.313816268558
2024-04-11,Memória RAM,Periféricos,Leste,Ana Silva,9109,26,767.9542312505677
2023-11-27,Headphone,Informática,Sul,Eva Santos,6703,13,5637.571981803474
2023-03-29,Webcam,Armazenamento,Sul,Bruno Costa,8447,26,496.9255320071161
2025-05-21,SSD,Informática,Norte,Eva Santos,6844,18,549.7264468246867
2023-05-11,Teclado,Informática,Leste,Carla Dias,3023,3,2498.1811203434695
2025-02-08,Webcam,Informática,Norte,Ana Silva,3496,26,7180.846477756678
2023-12-10,Webcam,Armazenamento,Norte,Diego Lima,7174,28,5159.834529888667
2025-03-16,Headset,Informática,Leste,Eva Santos,3298,23,6179.4398320770415
2024-01-21,Teclado,Armazenamento,Leste,Diego Lima,11490,3,1201.09270705868
2025-08-13,Memória RAM,Periféricos,Oeste,Ana Silva,9807,23,6686.273431318187
2023-10-04,SSD,Informática,Leste,Eva Santos,10929,25,144.5182856983424
2024-04-04,Teclado,Armazenamento,Sul,Diego Lima,394,27,1767.4142178054085
2023-01-22,Memória RAM,Armazenamento,Leste,Diego Lima,2775,26,4959.451183507948
2023-09-10,Webcam,Informática,Oeste,Eva Santos,3999,12,3051.951556064879
2025-01-17,SSD,Periféricos,Oeste,Ana Silva,9747,27,7874.811662411023
2025-05-06,Memória RAM,Armazenamento,Oeste,Diego Lima,9323,20,320.28683480108043
2024-04-19,Headphone,Informática,Leste,Carla Dias,7887,7,7988.897490057422
2025-12-18,Memória RAM,Periféricos,Leste,Eva Santos,8483,25,5019.132436261623
2024-05-25,Headset,Armazenamento,Norte,Bruno Costa,1042,24,4504.959397201084
