Data,Produto,Categoria,Região,Vendedor,Vendas,Quantidade,Custo,Lucro,Cidade,Latitude,Longitude
2025-05-10,Mouse,Armazenamento,Oeste,Carla Dias,3294,23,840.3750163287294,2453.62,Desconhecida,,
2025-12-31,Memória RAM,Informática,Sul,Bruno Costa,3737,10,2433.0020558508018,1304.0,Joinville,-26.284763,-48.889282
2025-11-10,Memória RAM,Periféricos,Sul,Diego Lima,226,27,509.8277882838388,-283.83,Maringá,-23.372938,-51.907186
2023-05-02,Teclado,Informática,Oeste,Carla Dias,9157,18,4805.313816268558,4351.69,Desconhecida,,
2024-04-11,Memória RAM,Periféricos,Leste,Ana Silva,9109,26,767.9542312505677,8341.05,Desconhecida,,
2023-11-27,Headphone,Informática,Sul,Eva Santos,6703,13,5637.571981803474,1065.4300000000003,Porto Alegre,-30.020213,-51.185424
2023-03-29,Webcam,Armazenamento,Sul,Bruno Costa,8447,26,496.9255320071161,7950.07,Blumenau,-26.925059,-49.093376
2025-05-21,SSD,Informática,Norte,Eva Santos,6844,18,549.7264468246867,6294.27,Manaus,-3.162618,-59.988937
2023-05-11,Teclado,Informática,Leste,Carla Dias,3023,3,2498.181120343469,524.8200000000002,Desconhecida,,
2025-02-08,Webcam,Informática,Norte,Ana Silva,3496,26,7180.846477756678,-3684.85,Macapá,0.020353,-51.02233
2023-12-10,Webcam,Armazenamento,Norte,Diego Lima,7174,28,5159.834529888667,2014.17,Macapá,0.062738,-51.099936
2025-03-16,Headset,Informática,Leste,Eva Santos,3298,23,6179.4398320770415,-2881.44,Desconhecida,,
2024-01-21,Teclado,Armazenamento,Leste,Diego Lima,11490,3,1201.09270705868,10288.91,Desconhecida,,
2025-08-13,Memória RAM,Periféricos,Oeste,Ana Silva,9807,23,6686.273431318187,3120.73,Desconhecida,,
2023-10-04,SSD,Informática,Leste,Eva Santos,10929,25,144.5182856983424,10784.48,Desconhecida,,
